fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
1193,2110,701011009,71009,Woolner - Bayview - Winnellie,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,6.7936,130.8752886,-12.43181265,14971.37257,146.1281233,163.0708983,965.4550526,563.9854159,1953.497856,672.3275191,1160.246378,773.0421171,762.5498905,224.4279418,256.3481904,303.41746,977.7432589,596.1485328,1657.672819,834.988635,1176.105252,224.9891596,743.4343543,0,0,3023,3020,3024,3012,2911,2767,2749,Lv 2
1194,2111,701021010,71010,Alawa,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.2399,130.8732025,-12.37954439,11084.47058,127.9283166,112.8420973,379.7714452,125.6011827,804.7297609,209.0965628,1109.338469,807.8121588,495.0751391,135.394016,226.7570193,183.4366659,668.6449794,310.2291858,1465.341835,1311.551378,1510.022383,229.2524972,378.4083733,0,0,2345,2311,2286,2252,2198,2154,2124,Lv 2
1195,2112,701021011,71011,Anula,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.3178,130.8904703,-12.39124885,10424.22303,128.7292886,115.5644,400.5747887,138.9250262,847.0129677,221.7954401,975.7044035,737.7105405,521.7225609,125.8032316,212.4629352,172.8682245,641.138363,312.0926908,1373.359667,1128.65518,1311.411886,213.3262083,372.919033,0,0,2566,2545,2518,2501,2422,2387,2345,Lv 2
1196,2116,701021015,71015,Charles Darwin,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,17.4936,130.8893282,-12.44855336,8911.487307,125.4511317,120.3771894,469.5600482,200.9075276,923.0735179,285.9367904,753.2872684,568.4850203,448.3688845,124.7777397,194.1658401,164.3287197,598.0681483,292.3358721,1122.496211,669.6796484,883.4015926,162.4930733,366.8917119,0,0,4,3,0,0,0,0,0,Lv 1
1197,2117,701021016,71016,Coconut Grove,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.4242,130.8518626,-12.39602438,11308.53639,131.895575,117.794345,418.6487492,139.0814064,895.5540583,260.5154594,1149.776892,825.2152385,476.0269873,140.3027294,227.8555221,210.0164834,721.822927,338.4235726,1498.092611,1079.152853,1469.584009,276.0883022,439.1127052,0,0,3271,3292,3323,3333,3261,3169,3123,Lv 2
1198,2144,701041043,71043,Rosebery - Bellamack,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,3.1751,130.9877972,-12.51046812,8673.308654,123.7614734,128.3608911,389.5213181,119.3192888,887.968792,204.3877944,827.7599405,596.8041437,396.44637,105.2137288,181.6773201,131.4974094,519.1794345,260.921303,1090.96985,888.4204268,931.6828144,149.3326587,333.8625686,0,0,6185,6763,7054,7215,7262,7283,7346,Lv 1
1199,2119,701021018,71018,Jingili,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.3163,130.8728106,-12.38894726,11304.39977,129.9851125,115.7739776,396.7550134,135.2168318,846.212673,220.6819631,1111.037431,834.0620368,536.2623679,136.6559602,229.6152974,188.7137303,683.3664976,317.6433057,1510.920519,1256.714477,1526.172826,239.3892578,387.9850103,0,0,1899,1900,1894,1880,1852,1838,1849,Lv 2
1200,2120,701021019,71019,Karama,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,2.0655,130.9162145,-12.40008595,9993.177603,130.9401401,117.0064699,449.9750029,165.4956397,924.1409937,250.6944885,935.8411439,661.1135309,527.4785402,119.8841417,194.669534,167.0527732,604.5826456,315.6269089,1227.471586,1030.812666,1136.275884,197.65838,375.451326,0,0,5298,5328,5316,5290,5168,4994,4900,Lv 1
1201,2121,701021020,71020,Leanyer,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,2.5017,130.8992218,-12.37396017,10577.58324,128.8514637,112.8150517,403.1466295,133.3986308,850.788618,216.4766747,1072.314616,745.3887986,508.809802,123.2871451,213.8603176,176.6734575,635.1418579,308.6029349,1326.363644,1169.352772,1405.552564,198.9106642,376.7602021,0,0,5032,4960,4880,4811,4713,4615,4527,Lv 2
1202,2123,701021022,71022,Malak - Marrara,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,4.8315,130.8969019,-12.39768506,10148.06735,128.7397208,113.9189397,400.5586478,135.8634329,825.657367,216.8983439,950.6483586,721.2621625,565.0695778,118.0095285,203.6221244,163.3853844,606.8192249,301.04121,1312.257969,1093.723265,1193.613993,286.4347481,358.4862357,0,0,5023,4971,4902,4834,4740,4632,4526,Lv 2
1203,2124,701021023,71023,Millner,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.4677,130.8625203,-12.39185869,11527.71262,130.9210797,117.9635202,401.7516232,138.0299569,850.7615511,221.5090923,1228.785666,849.9128385,508.8491501,141.3529675,232.5512192,207.052019,706.8154542,330.2868492,1569.644552,1189.615266,1504.761295,276.620193,401.2508858,0,0,2769,2748,2737,2722,2667,2570,2485,Lv 2
1204,2126,701021025,71025,Nightcliff,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.4512,130.8485728,-12.38358754,10675.79352,126.3520703,114.4105134,391.7434312,130.0954023,808.0274146,219.6416318,1081.112686,794.4618156,444.0293478,134.2858959,222.7694686,189.3561333,683.8532379,311.1005609,1392.437991,1088.507741,1426.227099,266.3491408,394.6099919,0,0,4156,4141,4140,4138,4020,3912,3812,Lv 2
1205,2145,701041044,71044,Woodroffe,70104,Palmerston,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.5977,130.9801587,-12.50172644,8887.610552,124.0692466,122.1913603,388.3481752,116.2772598,862.2024556,203.2016929,923.3336953,619.133997,402.6146977,107.1387755,187.5699802,133.0278169,522.8515994,255.7318479,1171.130658,895.8876398,937.4496692,151.387969,338.6375834,0,0,3589,3543,3465,3400,3402,3376,3385,Lv 1
1206,2127,701021026,71026,Rapid Creek,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.9176,130.8591946,-12.38042093,11043.78865,130.6776073,114.4843337,380.2772083,127.7947097,806.8572481,216.2988028,1078.636052,825.8229185,465.4989398,134.0503969,225.8331388,188.6076189,693.6720648,313.7975394,1470.481031,1272.241918,1500.946452,241.5244655,379.6739658,0,0,3576,3534,3515,3501,3488,3460,3441,Lv 2
1207,2128,701021027,71027,Tiwi,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,3.1187,130.8780044,-12.35876009,13761.49464,126.9183625,107.842849,357.6210054,120.1146295,774.0776356,198.6661734,1163.516484,823.1296702,417.8284747,133.2539993,243.169556,173.7615396,743.8640039,320.9100549,1916.725338,1367.554044,3676.630178,189.472775,375.6667106,0,0,2780,2760,2735,2721,2655,2565,2506,Lv 2
