fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
556,920,212051319,21319,Ashwood - Chadstone,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,6.7087,145.1014523,-37.87242722,135564.8774,936.5248453,332.6163061,9631.141582,1385.859268,8806.745248,5012.130294,14380.56182,8835.730419,5489.42244,3217.975107,6463.485018,2456.504756,13501.62045,4530.037714,6965.026066,12503.45114,17172.57336,2782.513481,4816.50204,0,0,18437,18835,19308,19872,20204,20606,20810,Lv 16
557,921,212051320,21320,Clayton,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,9.4112,145.1321796,-37.91594144,171143.08,1025.380078,359.6232898,15191.09337,1612.45077,10859.39734,7498.084921,16384.42506,9750.45911,7236.546196,3849.633389,6771.731408,2787.956072,15777.59468,5662.253359,7456.412895,18204.09937,23776.89133,2941.194654,5640.859178,0,0,21471,22510,23672,25484,26785,27555,28460,Lv 18
558,922,212051321,21321,Glen Waverley - East,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,9.1645,145.1783177,-37.88152377,110190.709,870.5948399,281.1926447,8819.737802,1090.290803,7154.144876,4443.904553,11486.02809,7026.400316,4616.655542,2342.682212,4810.723933,1959.994747,9976.156818,3558.501499,6061.092881,10241.59374,14074.52085,2071.722609,3987.884913,0,0,21922,22020,22153,22293,22404,22472,22389,Lv 14
559,923,212051322,21322,Glen Waverley - West,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,7.6758,145.15607,-37.88170196,126145.2922,913.7117497,312.5224263,9881.819808,1218.137037,8022.865599,4919.492343,13509.35542,8605.251072,5035.420453,2695.290761,5548.108496,2367.974244,11445.54971,4137.845112,6563.732508,11960.35479,16092.08414,2352.608483,4606.468024,0,0,19799,19951,20151,20442,20687,20964,21106,Lv 15
560,973,213051466,21466,Point Cook - South,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,9.4222,144.7334468,-37.91133747,77097.46305,775.0343906,254.8793877,5675.418354,837.9198556,4964.95957,2585.599695,7698.93772,5182.045248,4013.037234,1768.841133,3772.927698,1374.81581,7281.274385,2520.400163,4402.622983,6707.341499,9365.94014,1630.906238,2688.378443,0,0,11679,13366,15147,16847,18380,19473,20074,Lv 11
561,924,212051323,21323,Mount Waverley - North,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,6.484,145.130234,-37.86646037,140350.7983,967.8185597,324.4114501,10485.79824,1395.833218,9199.468451,5524.235079,14546.12311,8928.544738,5656.203126,3182.018298,6203.871344,2563.83407,13491.80446,4676.047991,7007.883715,13487.31986,18235.59743,2685.375388,5117.765606,0,0,15822,15903,16053,16219,16334,16452,16642,Lv 16
562,925,212051324,21324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006,145.1272027,-37.8872638,149791.995,1003.212765,330.123347,12069.35246,1601.750944,10305.09451,6471.699255,15441.01619,9282.232478,6190.037791,3223.627628,6408.949041,2760.254125,14393.53468,4927.934993,7005.036287,13810.5025,19383.08088,2747.076461,5218.905748,0,0,18698,18940,19291,19637,20009,20239,20286,Lv 17
563,926,212051325,21325,Mulgrave,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,10.7189,145.1758711,-37.92568222,144188.4762,955.5590796,316.3174421,13235.33999,1403.843795,9571.186912,7054.714257,16089.88964,8302.107453,6136.334309,3114.679246,6363.0487,2319.771263,12599.65253,5210.094751,6558.896675,12655.72126,17376.41676,2554.580688,5103.456814,0,0,19874,20181,20462,20663,20900,21035,21189,Lv 16
564,927,212051326,21326,Oakleigh - Huntingdale,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,10.1702,145.1012071,-37.9084822,154871.5446,993.5191585,359.6815834,12349.8585,1508.204261,9970.927577,6243.505208,16167.55476,9703.066142,6883.053202,3560.172629,6916.870961,2800.783321,14899.47849,5114.969513,7543.001825,14167.86649,19529.16002,3060.380956,5548.864417,0,0,21929,22225,22617,23152,23589,24068,24411,Lv 17
565,928,212051327,21327,Wheelers Hill,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,10.4394,145.1868658,-37.90758609,125832.0767,931.0319663,309.3750794,10309.12109,1245.48955,8185.493959,5291.932955,13416.71493,8064.500319,5265.891802,2723.2839,5625.902922,2214.14167,11540.62784,4161.688763,6194.808239,11583.41062,15713.19654,2382.755424,4535.467126,0,0,20450,20727,20880,20976,21014,21038,21072,Lv 15
566,929,213011328,21328,Ardeer - Albion,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.5883,144.8096005,-37.77615023,123841.2292,953.5706625,339.9053166,9495.70393,1541.773685,7725.083688,4200.697172,11914.71203,8048.595295,7347.039547,2940.257228,6454.378822,2091.206576,11533.81128,4000.532349,7243.18859,10516.48945,14812.64035,2536.28197,4238.522435,0,0,7773,7937,8202,8342,8458,8530,8558,Lv 15
568,930,213011329,21329,Cairnlea,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4061,144.7878077,-37.75931523,105139.5141,884.3112408,303.8434661,8046.461823,1183.683602,6706.593675,3575.889117,10322.19035,6874.726599,6246.901732,2391.488397,5211.179359,1776.010224,9527.588726,3394.777872,6002.208814,9114.697729,12868.20017,2107.270363,3606.470687,0,0,9857,10040,10206,10421,10569,10643,10778,Lv 13
569,933,213011332,21332,Keilor Downs,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,7.6597,144.8129094,-37.72628843,102154.582,863.0062935,293.2848871,7925.314551,1109.393863,6718.94405,3421.909894,10235.38017,6758.477243,6268.452388,2282.509451,4847.877142,1728.023272,8992.312302,3303.757758,5866.613763,9009.091763,12105.85164,1976.523594,3564.510658,0,0,14014,13960,13943,13937,13910,13834,13669,Lv 13
570,931,213011330,21330,Deer Park - Derrimut,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,21.3348,144.7742342,-37.78739066,104517.2461,922.5964226,303.089866,9306.121245,1125.89961,7078.751104,4521.564684,10805.56893,6574.392034,7884.316676,2111.117148,4472.320673,1716.961319,8369.628758,3391.214465,5434.929508,8369.350051,11373.77126,1922.534362,3526.115702,0,0,26157,26746,27536,28218,28711,28920,28792,Lv 13
571,932,213011331,21331,Delahey,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,3.5055,144.7773199,-37.71980315,91649.6917,834.6036492,276.3401652,6893.482466,991.2026927,5938.131714,3063.109098,9275.102739,6188.957152,5321.291914,2037.640063,4377.26925,1557.8249,8118.901299,2957.287225,5184.345327,8182.964626,11142.96291,1801.314121,3177.027792,0,0,8807,8815,8841,8843,8831,8816,8747,Lv 12
573,934,213011333,21333,Kings Park (Vic.),21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323,144.7705067,-37.73903042,95521.54183,846.4296411,285.4411484,7205.708043,1051.071106,6119.918938,3212.329573,9466.61417,6316.911,5536.264149,2144.776251,4663.544676,1619.467789,8594.230389,3086.372037,5447.657751,8531.905003,11678.27474,1900.136045,3296.861969,0,0,14336,14373,14447,14586,14645,14691,14550,Lv 12
574,935,213011334,21334,St Albans - North,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,6.5225,144.8023892,-37.73716444,102287.4555,861.1300623,294.4465706,7664.741494,1110.660071,6552.193864,3369.16463,10031.73022,6716.230255,5992.600267,2303.078594,5027.795925,1762.861886,9236.284075,3328.666556,5806.353514,9137.510455,12635.05636,2012.691035,3572.510308,0,0,20220,20490,21064,21437,21686,21795,21624,Lv 13
575,944,213021343,21343,Altona North,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,16.1844,144.8360891,-37.83572386,140266.7208,966.5793389,403.7000812,12884.24219,1638.355172,8671.03488,5237.689158,13276.58024,8761.274639,9510.086342,3272.23252,6992.748855,2507.28514,13234.11929,4513.726385,7602.212466,10820.99896,15412.20494,3149.314737,4693.643022,0,0,14271,14519,14787,15024,15196,15425,15594,Lv 16
576,936,213011335,21335,St Albans - South,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,6.2647,144.8076335,-37.75335563,114051.679,896.920806,313.7286764,8414.467007,1236.992561,7064.206628,3669.916137,10828.25972,7347.796021,6504.605664,2561.283188,5608.353478,1880.733308,10190.95583,3616.213984,6441.902932,10166.61052,15886.78785,2241.92319,3834.107588,0,0,17503,17725,18025,18336,18487,18554,18403,Lv 14
577,938,213011337,21337,Sunshine North,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,8.0239,144.8361887,-37.76392911,119730.3876,918.6558061,328.9533603,9881.26493,1349.702624,7668.308287,4119.138098,11589.11982,7731.207124,7125.361585,2707.074899,5882.326691,1982.409863,10722.42199,3841.616582,6868.362053,10263.17886,14229.0777,2371.134072,4308.328012,0,0,11693,11890,12123,12331,12487,12533,12525,Lv 15
578,937,213011336,21336,Sunshine,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.732,144.8342516,-37.78932185,128804.6322,946.3273424,355.8489753,10172.68016,1506.917479,7852.116373,4311.989205,12343.65347,8356.012919,7817.091721,3164.326079,6933.064994,2220.123664,12149.49164,4190.368132,8264.782308,10313.46829,14757.57482,2609.952304,4324.4957,0,0,9843,10083,10241,10411,10539,10641,10563,Lv 15
579,940,213011339,21339,Sydenham,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,3.9479,144.7642428,-37.69979653,95391.99551,843.8436588,286.2420803,6982.437491,1015.390521,6145.437973,3090.751924,9665.047719,6584.70837,5413.433962,2160.733418,4492.103448,1641.194583,8579.707977,3104.010475,5391.754908,8555.045698,11744.66259,1922.691701,3306.854672,0,0,12335,12432,12585,12702,12768,12799,12634,Lv 12
580,939,213011338,21338,Sunshine West,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,12.9688,144.8182752,-37.8020081,123383.304,949.9928428,365.3851547,10955.42703,1571.058421,7975.678848,4715.788916,11276.79976,7619.024649,8572.398401,2829.59645,6092.972567,2059.056884,11220.99224,3968.423647,6955.985148,9907.431647,13490.62416,2467.453907,4159.841176,0,0,18596,19013,19533,19896,20123,20267,20207,Lv 15
581,941,213011340,21340,Taylors Lakes,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,18.4632,144.7859725,-37.68851136,96483.97823,843.1066971,283.6474675,6976.473627,1007.098471,6136.102699,3126.980284,10608.89797,6924.386164,5378.513717,2181.28968,4579.467003,1696.097636,8532.310571,3170.075787,5422.604868,8496.026924,11309.93506,1947.728433,3348.777975,0,0,18532,18474,18455,18421,18401,18323,18096,Lv 13
582,942,213021341,21341,Altona,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,17.6847,144.8150072,-37.86030707,114057.8864,892.609229,335.3652321,9142.555895,1302.445,7524.348785,3986.161749,10670.17974,7370.56308,7069.88084,2763.024215,5903.654867,2041.883879,11024.44824,3833.587032,6813.108673,9128.282533,12633.3278,2446.233456,3779.787251,0,0,12757,12979,13206,13443,13713,14002,14163,Lv 14
