fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
1164,2006,601021006,61006,Geilston Bay - Risdon,60102,Hobart - North East,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,8.7147,147.3462958,-42.82955206,20617.55578,350.4761447,99.04915051,1121.783994,310.3320195,1255.237847,461.1960899,2191.13466,1586.221316,730.9479155,423.5239003,724.2162592,305.6905262,1422.341312,573.1717938,2200.169736,1906.414909,3091.427364,398.2664971,777.5696806,0,0,3252,3253,3255,3265,3278,3300,3314,Lv 3
1165,2007,601021007,61007,Howrah - Tranmere,60102,Hobart - North East,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,9.4115,147.4125362,-42.89528568,15705.78756,306.8519118,91.36646811,913.9330211,222.3985373,1037.025473,375.7866724,1814.643076,1182.330561,613.5592744,286.386946,532.162676,266.3166117,1087.714719,450.1892263,1346.626232,1535.218987,2177.211136,292.9274379,601.1242501,0,0,10293,10454,10565,10742,10947,11145,11295,Lv 3
1166,2008,601021008,61008,Lindisfarne - Rose Bay,60102,Hobart - North East,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,7.9978,147.3672413,-42.8445667,22044.31482,354.8242335,101.9318216,1151.073293,323.8729571,1291.272066,479.1642826,2354.366064,1681.777371,765.2458561,448.0789366,753.7199567,331.8854781,1505.449877,599.0896131,2318.22669,2073.530452,3538.423469,415.932644,833.5142097,0,0,7105,7225,7341,7411,7464,7505,7549,Lv 4
1167,2017,601031017,61017,Glenorchy,60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,10.4597,147.2653838,-42.84343182,22012.5219,333.0171425,106.5389649,1457.7022,328.0996521,1447.676496,567.4056002,2813.982588,1533.831808,892.1513862,402.8099015,651.3472364,321.2262648,1257.670898,606.2235515,2015.544426,1929.078782,3211.870435,475.0769432,827.4565254,0,0,10910,11030,11181,11368,11503,11641,11646,Lv 4
1168,2018,601031018,61018,Montrose - Rosetta,60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,5.7328,147.249293,-42.82600957,17893.57879,332.730464,99.89982893,1144.50897,287.926335,1210.006506,473.1231155,1907.27127,1293.275582,783.6633827,333.3836681,567.8309779,274.1667682,1176.735842,565.9422585,1579.299197,1617.660377,2566.582914,336.8319646,672.587458,0,0,4739,4795,4913,5015,5061,5104,5039,Lv 3
1169,2019,601031019,61019,Moonah,60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,2.794,147.2956971,-42.84571354,30255.37757,400.5832155,119.7183958,1840.253533,772.664473,1869.336779,791.9607245,3294.392713,2179.431219,1454.103212,569.0272685,907.8601818,384.354136,1883.190591,897.7660321,2991.069569,2368.036604,4661.612305,522.0287833,1290.358485,0,0,5296,5327,5375,5413,5403,5355,5365,Lv 5
1170,2020,601031020,61020,New Norfolk,60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,63.264,147.1040769,-42.77372274,13828.1863,344.5457248,90.46701814,1137.344617,169.2756561,873.2829681,344.7127734,1505.895522,1006.182643,614.4607544,224.2287706,444.7974877,209.0178284,876.3674016,399.3448906,1078.516903,1297.506206,1920.214531,233.581157,501.448092,0,0,6546,6591,6631,6691,6789,6885,6949,Lv 2
1171,2009,601021009,61009,Mornington - Warrane,60102,Hobart - North East,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,8.2145,147.39334,-42.85618052,24447.47833,373.296538,100.982433,1252.226065,405.2336453,1629.513507,539.6623586,2542.504086,1829.259055,930.0043591,490.2646321,822.6060794,352.6759645,1619.496476,645.4549889,2651.233848,2318.986539,3631.430264,471.8544985,992.3851808,0,0,4698,4707,4726,4751,4788,4813,4812,Lv 4
1172,2021,601031021,61021,West Moonah,60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,1.7726,147.2813675,-42.84963739,20797.93144,339.6286041,109.4148826,1375.081783,367.6759396,1334.42321,539.1303311,2302.537449,1487.138378,921.5483148,400.7432083,650.2696865,291.6705508,1327.742546,587.6304532,1953.260295,1819.693509,3021.564005,399.0677266,807.9381518,0,0,3949,3967,3992,4024,4041,4084,4044,Lv 3
1173,2022,601041022,61022,Kingston - Huntingfield,60104,Hobart - South and West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,61.8202,147.2709673,-42.9657426,19348.89145,352.8708779,105.809736,1124.325939,231.7002821,1411.929699,479.6974096,2456.905617,1484.475268,662.951768,324.2869771,595.4125857,271.6641196,1413.933621,506.551727,1698.130591,1860.622725,2547.448794,364.6420073,758.1390515,0,0,11235,11341,11482,11653,11841,12035,12129,Lv 3
1174,2023,601041023,61023,Kingston Beach - Blackmans Bay,60104,Hobart - South and West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,22.2736,147.3166982,-43.02462044,14816.26031,327.7422846,98.7053323,865.1688716,197.63324,1034.943415,359.0056042,1545.947329,1134.502681,557.9353303,271.0761616,487.0449202,241.669019,1088.118273,417.441502,1205.966712,1449.860164,2130.973589,269.3073572,572.1414789,0,0,10155,10363,10519,10702,10901,11077,11183,Lv 2
1175,2024,601041024,61024,Margate - Snug,60104,Hobart - South and West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,146.2329,147.2104852,-43.03594654,13317.75004,484.5785556,93.14730324,953.940756,178.3684198,963.5068346,353.83508,1347.950571,978.5448041,533.3033954,227.1973143,432.6163019,203.794048,937.8816381,372.5249361,981.6670745,1250.829923,1752.901733,232.8852849,505.2800424,0,0,7687,7767,7827,7989,8122,8254,8319,Lv 2
1176,2010,601021010,61010,Risdon Vale,60102,Hobart - North East,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,35.4878,147.3573162,-42.79588823,15640.79884,304.5009531,93.68589468,935.7506178,219.2066496,1008.670142,382.3665194,1618.434773,1150.934922,632.5557499,289.5822444,521.7894567,229.4265547,1048.788296,439.2427821,1732.987009,1417.494109,2174.860919,288.9631351,585.9060624,0,0,3039,3086,3144,3211,3256,3326,3432,Lv 3
1177,2011,601021011,61011,Rokeby,60102,Hobart - North East,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,15.4231,147.4393158,-42.89476572,15344.42531,306.3194886,91.36979313,929.4648112,217.5753717,1002.735514,395.801387,1607.096334,1120.05633,605.0478551,281.991166,510.960844,229.8652458,1035.882673,450.2140281,1401.420311,1540.349714,2173.403872,292.3995431,575.7446428,0,0,5787,5945,6133,6299,6472,6707,6971,Lv 3
1178,2012,601021012,61012,South Arm,60102,Hobart - North East,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,74.2672,147.4823283,-42.98010169,11876.26527,320.1681653,97.00260381,755.2147238,159.2034827,848.4829027,316.1516066,1236.141135,863.8732817,493.092674,216.2910465,414.4617911,190.0739968,866.8902327,350.401866,938.1784515,1080.430355,1578.869166,224.3874327,448.6369748,0,0,4254,4279,4310,4355,4439,4510,4570,Lv 2
1179,2013,601031013,61013,Austins Ferry - Granton,60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,27.3675,147.1944775,-42.76352713,13697.69495,322.7739253,91.8848199,911.2122744,187.1956862,1005.481971,363.3710798,1428.414141,993.0957383,593.3467495,251.8027279,461.2018491,203.8392067,935.6777572,403.5037244,1095.215398,1304.693912,1847.579186,248.1541923,505.5601524,0,0,3906,3948,3997,4047,4115,4167,4238,Lv 2
1180,2014,601031014,61014,Berriedale - Chigwell,60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,34.0496,147.1972608,-42.83128693,14444.36673,299.2522491,92.64531365,917.3522741,199.3433065,931.2697496,387.1445642,1495.97365,1093.339155,598.2583354,264.6848161,483.7989469,215.2076908,980.1693283,429.6350447,1204.63328,1269.613379,2020.062714,469.5126993,543.7119666,0,0,5517,5533,5562,5602,5631,5626,5654,Lv 2
1181,2015,601031015,61015,Claremont (Tas.),60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,17.9226,147.2225659,-42.78800691,17337.1637,316.532777,97.26121351,1482.956143,238.9763368,1081.327143,421.6042997,1875.066201,1295.372611,691.5294834,308.9627479,543.7448008,247.0695488,1095.656947,492.4592611,1442.395924,1693.57284,2408.565666,320.3589444,629.3652295,0,0,7797,7792,7802,7846,7925,8000,8046,Lv 3
1182,2016,601031016,61016,Derwent Park - Lutana,60103,Hobart - North West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,4.9191,147.3043887,-42.83342337,29573.09017,395.5148373,168.2583876,2440.479066,517.3749142,1906.643388,809.8244266,3013.938215,2049.810147,1510.6706,643.5426077,883.6481595,385.1437696,1797.45829,796.0432546,3147.351297,2232.292022,4107.788157,558.7120698,1159.220445,0,0,4205,4200,4202,4250,4273,4299,4241,Lv 5
1183,2033,601051033,61033,West Hobart,60105,Hobart Inner,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,3.623,147.3055482,-42.88433078,25149.44725,393.2687602,100.3966409,1180.520742,401.7566338,1401.754795,532.1806639,2620.361443,2064.778654,808.9019782,575.9054724,928.8882218,360.9350054,1872.224126,673.6179967,2955.031753,2249.779365,3795.084606,485.8301226,938.241647,0,0,6020,6032,6055,6115,6202,6302,6320,Lv 4
1184,2034,601061034,61034,Dodges Ferry - Lewisham,60106,Sorell - Dodges Ferry,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,318.3924,147.7610359,-42.81260468,11755.26557,367.4797805,89.17434222,779.8727956,160.334993,843.6365031,306.9292936,1231.70928,876.5866807,504.4005685,202.8979451,402.1135907,190.6261785,837.2083595,354.6030295,860.7519636,1083.055101,1541.98448,216.2814819,432.318647,0,0,7373,7461,7576,7704,7875,8059,8244,Lv 2
1185,2035,601061035,61035,Sorell - Richmond,60106,Sorell - Dodges Ferry,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,375.9341,147.5636322,-42.73565362,14169.34387,466.4758501,94.14843959,1029.100477,179.331972,926.3884276,349.0987518,1641.83668,1132.046318,576.6767589,234.9007448,459.5634868,222.9396522,926.283074,397.4981396,1056.335742,1280.330407,1874.12671,265.0485274,514.2776844,0,0,8251,8405,8580,8771,8997,9237,9519,Lv 2
