id,Plat_Num,Long,Lat
26696,1.000000000000000,148.073969,-35.978957
35673,1.000000000000000,148.218850,-35.296877
85598,1.000000000000000,149.065228,-35.497235
35672,4.000000000000000,148.218783,-35.292370
28775,1.000000000000000,148.100225,-35.063583
140347,2.000000000000000,149.987215,-35.392299
36674,1.000000000000000,148.236924,-35.400380
85583,1.000000000000000,149.063501,-35.429653
140348,1.000000000000000,149.987381,-35.396802
51418,2.000000000000000,148.490799,-35.731091
51416,1.000000000000000,148.490631,-35.722077
97923,1.000000000000000,149.266616,-35.209659
85557,1.000000000000000,149.060520,-35.312510
101769,1.000000000000000,149.324038,-34.911081
54514,1.000000000000000,148.532039,-34.991275
127334,1.000000000000000,149.771426,-35.519126
83504,1.000000000000000,149.016744,-34.876001
105882,1.000000000000000,149.416508,-35.815207
105881,1.000000000000000,149.416372,-35.810703
91750,9.000000000000000,149.164834,-35.306179
91749,1.000000000000000,149.164714,-35.301674
88635,1.000000000000000,149.127118,-35.960399
54503,1.000000000000000,148.531116,-34.941696
88634,1.000000000000000,149.126997,-35.955894
85523,1.000000000000000,149.056648,-35.159318
59617,2.000000000000000,148.633492,-35.950106
79584,1.000000000000000,148.950278,-34.841023
124236,1.000000000000000,149.697350,-34.781673
54511,1.000000000000000,148.531787,-34.977753
54510,2.000000000000000,148.531703,-34.973246
75458,1.000000000000000,148.890843,-35.346837
102790,1.000000000000000,149.345971,-35.104478
36652,3.000000000000000,148.235413,-35.301217
136678,1.000000000000000,149.913341,-35.020057
47974,1.000000000000000,148.420943,-34.902460
37682,1.000000000000000,148.255539,-35.535429
88618,1.000000000000000,149.125068,-35.883815
45945,1.000000000000000,148.402309,-36.043181
55475,3.000000000000000,148.547029,-34.914445
86567,1.000000000000000,149.080711,-35.456402
120092,1.000000000000000,149.639952,-35.206597
97883,3.000000000000000,149.261628,-35.029455
97882,1.000000000000000,149.261504,-35.024950
76463,2.000000000000000,148.910211,-35.468237
76462,43.000000000000000,148.910104,-35.463731
75455,1.000000000000000,148.890528,-35.333318
128306,1.000000000000000,149.787015,-35.491727
36617,1.000000000000000,148.233024,-35.143455
49325,1.000000000000000,148.446553,-35.114045
138673,1.000000000000000,149.952514,-35.194867
119551,1.000000000000000,149.645302,-35.706735
93739,1.000000000000000,149.201847,-35.454252
89611,1.000000000000000,149.143498,-35.951093
128295,4.000000000000000,149.785305,-35.442194
128294,2.000000000000000,149.785150,-35.437691
51314,1.000000000000000,148.482163,-35.262381
77441,1.000000000000000,148.926735,-35.467974
77447,1.000000000000000,148.927380,-35.495009
63681,1.000000000000000,148.689001,-35.165004
138665,1.000000000000000,149.951210,-35.158847
41764,7.000000000000000,148.315838,-34.831509
63680,1.000000000000000,148.688908,-35.160497
143854,1.000000000000000,150.034417,-35.035114
98623,2.000000000000000,149.283668,-35.425688
56472,22.000000000000000,148.565071,-34.999869
87566,1.000000000000000,149.099692,-35.550728
87564,4.000000000000000,149.099457,-35.541717
84930,1.000000000000000,149.052377,-35.425335
136619,1.000000000000000,149.903971,-34.754382
71265,2.000000000000000,148.823916,-35.550709
62680,1.000000000000000,148.670420,-35.061578
83922,16.000000000000000,149.032472,-35.290447
83921,1.000000000000000,149.032360,-35.285941
71269,2.000000000000000,148.824325,-35.568733
116400,1.000000000000000,149.564656,-34.730455
84936,2.000000000000000,149.053064,-35.452368
71273,2.000000000000000,148.824734,-35.586757
63674,1.000000000000000,148.688350,-35.133457
125658,1.000000000000000,149.736866,-35.312607
126672,1.000000000000000,149.758869,-35.474348
115366,1.000000000000000,149.581244,-35.946979
71249,2.000000000000000,148.822286,-35.478612
71248,1.000000000000000,148.822184,-35.474106
111998,1.000000000000000,149.510552,-35.461745
81544,1.000000000000000,148.983504,-34.858517
145855,1.000000000000000,150.074876,-35.236883
75388,1.000000000000000,148.883547,-35.031408
88047,1.000000000000000,149.090896,-34.780085
86992,1.000000000000000,149.097864,-35.902322
88046,1.000000000000000,149.090782,-34.775579
137592,1.000000000000000,149.919546,-34.731475
37096,1.000000000000000,148.249140,-35.833014
84906,3.000000000000000,149.049640,-35.317202
84904,3.000000000000000,149.049413,-35.308191
85926,1.000000000000000,149.070969,-35.506151
75347,1.000000000000000,148.879326,-34.846648
71244,2.000000000000000,148.821777,-35.456081
108841,1.000000000000000,149.469770,-35.926793
82854,1.000000000000000,149.006028,-34.885194
68103,1.000000000000000,148.778586,-35.993116
75348,1.000000000000000,148.879428,-34.851155
97250,1.000000000000000,149.253026,-35.115257
34982,1.000000000000000,148.205253,-35.121193
36000,1.000000000000000,148.224416,-35.301329
44269,1.000000000000000,148.370977,-35.836194
91099,2.000000000000000,149.153962,-35.310881
91098,2.000000000000000,149.153842,-35.306375
91097,7.000000000000000,149.153723,-35.301870
85914,1.000000000000000,149.069582,-35.452086
98276,3.000000000000000,149.275506,-35.331190
115318,1.000000000000000,149.574246,-35.730810
91100,5.000000000000000,149.154081,-35.315386
78422,1.000000000000000,148.943583,-35.481226
29103,2.000000000000000,148.105829,-35.072549
35995,1.000000000000000,148.224077,-35.278792
35994,1.000000000000000,148.224009,-35.274284
35999,2.000000000000000,148.224348,-35.296822
35998,2.000000000000000,148.224281,-35.292314
35996,2.000000000000000,148.224145,-35.283299
88962,1.000000000000000,149.132781,-35.964805
35972,1.000000000000000,148.222521,-35.175119
54350,1.000000000000000,148.540369,-35.721451
78414,1.000000000000000,148.942716,-35.445180
88960,1.000000000000000,149.132538,-35.955795
45293,1.000000000000000,148.391210,-36.043311
55334,1.000000000000000,148.557474,-35.748277
