fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
34,2189,801011018,81018,Lawson,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,3.0845,149.0882133,-35.22504104,42519.42737,473.7017028,179.5096761,1749.364618,339.4104556,2474.53257,919.1094097,3816.876412,2918.998106,1493.314667,840.2566249,1422.204438,675.1497416,3942.967415,1163.555291,7358.719243,4126.68414,4898.529152,745.8597885,1417.60792,0,0,0,0,146,709,1752,1897,2012,Lv 7
35,2190,801011019,81019,Macgregor (ACT),80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,4.2749,149.0110104,-35.20980202,34581.36128,469.6731665,175.3817469,1638.286976,303.2736846,2129.297301,823.4907666,3199.196364,2424.416985,1314.053234,680.1832034,1250.710644,559.6162428,3045.549901,1001.353988,5040.480018,3321.152666,4062.738763,594.9343797,1188.612155,0,0,6530,6701,6875,7043,7166,7245,7343,Lv 6
36,2192,801011021,81021,McKellar,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.414,149.0770351,-35.21752449,40891.1766,474.0627121,179.343927,1739.707363,333.7079618,2425.001645,902.1500131,3721.480103,2840.230689,1461.501034,804.2400022,1389.300634,653.4067779,3747.40731,1148.754468,6766.036461,3945.671245,4731.780965,711.5597785,1390.69251,0,0,2853,2818,2810,2810,2811,2826,2843,Lv 6
37,2209,801041038,81038,Forde,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.9171,149.1460732,-35.16818142,32936.49085,448.313843,172.7594785,1597.27365,293.1384512,2154.495296,799.0150591,3065.487029,2320.780385,1272.455684,656.0969533,1196.48644,541.8231459,2895.799373,946.6158309,4583.539098,3129.927064,3829.457627,563.5139675,1156.434464,0,0,3824,4087,4360,4500,4587,4630,4642,Lv 5
38,2193,801011022,81022,Melba,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2.3073,149.0540504,-35.21015672,36735.30897,466.1878489,177.1905589,1681.250386,317.7566972,2263.286049,852.1354433,3380.938575,2549.339756,1366.604448,717.1455327,1296.558131,590.7260676,3263.648644,1047.247202,5530.792687,3627.814171,4288.547075,631.0796405,1270.61886,0,0,3221,3182,3154,3176,3201,3220,3246,Lv 6
39,2194,801011023,81023,Page,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.3225,149.0498753,-35.2386365,40330.13835,451.6454226,174.660878,1634.602404,322.6353041,2250.464404,862.9454179,3658.867701,2792.454222,1413.664353,774.2469878,1356.969744,648.1114826,3740.144913,1104.3278,7099.217019,3814.10773,4717.099732,681.8259103,1354.70536,0,0,3010,3040,3084,3129,3149,3148,3120,Lv 6
40,2196,801011025,81025,Spence,80101,Belconnen,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,1.5224,149.0643782,-35.1987302,35311.78154,464.8694962,176.8923545,1674.011691,308.5739175,2239.195006,837.6671771,3274.68932,2471.526029,1343.520885,699.3842136,1259.63808,572.1218305,3101.058546,1015.627213,5059.677264,3394.504824,4188.114727,618.4075896,1233.062972,0,0,2605,2590,2601,2599,2608,2626,2635,Lv 6
41,2202,801031113,81113,Canberra East,80103,Canberra East,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,31.0618,149.1607375,-35.35989604,41055.74168,444.0389541,173.3951302,1805.649731,392.3502621,2629.117625,900.2291498,3308.495147,2537.080708,1517.459651,902.3909771,1155.165493,598.4977839,3445.981627,1074.548221,9304.333612,3140.721754,4273.158376,610.4843942,1330.795075,0,0,824,813,816,792,793,805,825,Lv 7
42,2206,801041035,81035,Bonner,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2.7559,149.1429713,-35.15597694,32656.80372,447.692504,172.8324339,1596.569705,293.6709002,2124.89817,796.878467,3057.950462,2291.022959,1275.360185,656.0522555,1186.764932,534.728771,2847.728319,942.0019879,4513.138821,3085.733975,3821.208778,556.454849,1146.555655,0,0,5751,6223,6832,7091,7230,7290,7341,Lv 5
43,2207,801041036,81036,Casey,80104,Gungahlin,801,Australian Capital Territory,8ACTE,Australian Capital Territory,8,Australian Capital Territory,2.6225,149.0947051,-35.16701272,33338.93618,449.9269159,171.1433984,1599.400974,295.8567225,2207.14267,795.3056285,3162.616428,2411.452865,1276.550974,661.9635702,1180.87435,545.6643869,2882.468736,968.0708048,4702.989768,3087.268217,3878.981633,575.1368126,1164.61735,0,0,4353,5405,5967,6361,6515,6646,6819,Lv 5
