id,J_Job_POW,J_Pop_PUR,J_Val_Job,J_Val_Pop,J_BiVar,Long,Lat
1856,"0","0",A,"1",A1,149.034744,-35.364068
1859,"0","0",A,"1",A1,149.035083,-35.377585
1858,"0","1",A,"1",A1,149.034970,-35.373079
1861,"16","46",A,"1",A1,149.035309,-35.386596
1860,"1","0",A,"1",A1,149.035196,-35.382090
5961,"1","0",A,"1",A1,149.245625,-35.229619
1863,"21","304",A,"2",A2,149.035536,-35.395607
5960,"0","0",A,"1",A1,149.245500,-35.225114
1862,"20","189",A,"2",A2,149.035423,-35.391101
1865,"0","0",A,"1",A1,149.035763,-35.404618
5962,"0","0",A,"1",A1,149.245749,-35.234124
1864,"0","0",A,"1",A1,149.035649,-35.400113
5965,"4","0",A,"1",A1,149.246122,-35.247639
1866,"1","0",A,"1",A1,149.035876,-35.409124
5967,"5","1",A,"1",A1,149.246370,-35.256649
5966,"0","0",A,"1",A1,149.246246,-35.252144
1815,"0","0",A,"1",A1,149.030127,-35.179335
1814,"0","0",A,"1",A1,149.030015,-35.174830
1817,"14","610",A,"4",A4,149.030352,-35.188347
1816,"2","228",A,"2",A2,149.030240,-35.183841
1819,"19","510",A,"3",A3,149.030576,-35.197358
1818,"17","653",A,"4",A4,149.030464,-35.192853
1821,"254","211",B,"2",B2,149.030800,-35.206370
1820,"149","254",A,"2",A2,149.030688,-35.201864
1823,"18","304",A,"2",A2,149.031025,-35.215381
1822,"20","237",A,"2",A2,149.030913,-35.210875
1841,"0","0",A,"1",A1,149.033050,-35.296484
1840,"1","0",A,"1",A1,149.032937,-35.291978
1843,"0","0",A,"1",A1,149.033275,-35.305495
1842,"0","0",A,"1",A1,149.033163,-35.300989
1845,"13","62",A,"1",A1,149.033501,-35.314506
1844,"17","0",A,"1",A1,149.033388,-35.310001
1847,"11","647",A,"4",A4,149.033727,-35.323517
1846,"13","965",A,"4",A4,149.033614,-35.319012
1849,"14","458",A,"3",A3,149.033952,-35.332529
1848,"15","135",A,"2",A2,149.033840,-35.328023
1851,"14","485",A,"3",A3,149.034178,-35.341540
1850,"17","447",A,"3",A3,149.034065,-35.337034
