fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
314,367,118021570,11570,Randwick - South,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,3.3726,151.2393381,-33.91975297,177532.3673,665.5180205,473.7572467,6985.265272,1143.314551,9723.305022,4996.114967,14314.47062,12347.33259,7866.56097,6073.289926,14972.53241,3651.196152,21754.72936,6150.621274,10891.21963,14925.8245,23354.07772,3673.360641,5562.535956,13883.66031,16267.61802,13398,13706,13959,14304,14442,14542,14735,Lv 19
315,553,127031522,11522,Casula,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,7.0719,150.8994886,-33.95221597,111556.4981,657.3300394,384.4593181,7754.496577,938.1816754,7699.352434,4005.206794,11825.60187,7559.935569,6167.419381,2406.271725,5864.107875,2071.370643,9182.607133,3546.787444,6810.438189,9219.0942,13980.20103,1667.09111,3949.894943,3531.566291,3990.193654,15897,16062,16255,16536,16801,16973,17084,Lv 14
316,554,127031523,11523,Chipping Norton - Moorebank,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,14.4902,150.9530735,-33.92721542,116828.9782,661.8333688,391.5995627,10196.6392,1016.883016,8322.600646,4937.217657,11207.47541,7390.448867,6976.382606,2472.716348,5976.425447,2158.79017,9343.722701,3805.209514,6805.598906,9015.575907,13530.16556,1682.008191,4364.558681,14976.68761,16520.82321,18235,18826,19420,19943,20523,21053,21348,Lv 14
317,555,127031524,11524,Holsworthy - Wattle Grove,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,73.7001,150.9440422,-33.99145419,84559.5187,563.0116548,325.092776,5840.209116,682.7441435,5669.901588,3070.28551,7829.515488,5521.330257,4538.105069,1870.442928,4544.166834,1507.982855,7131.574213,2654.337253,7268.461386,6940.305608,10193.25563,1282.396776,2899.49329,7357.271233,8421.531083,20676,20944,21348,21569,21759,21907,21910,Lv 11
318,556,127031598,11598,Liverpool,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,6.3185,150.9158174,-33.92340593,127281.0519,660.6706005,389.2579047,8616.505387,1072.681789,8299.303949,4328.240134,12972.54016,8180.607146,6392.499518,2453.787412,6222.998589,2337.959161,9762.010997,3970.712174,8882.8416,10241.77587,19637.22316,1779.347972,4427.327315,22140.48977,25576.8192,26935,27638,28523,29486,30480,31597,32473,Lv 15
319,557,127031599,11599,Lurnea - Cartwright,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,3.4665,150.8949609,-33.93280525,99062.78068,621.73479,360.6687898,6892.119202,852.2742182,6876.331811,3628.190229,9797.165358,6602.799089,5521.365432,2154.765457,5256.085501,1809.719994,8208.353052,3173.875959,6149.418755,8464.411776,12451.62658,1494.157092,3549.4604,1253.163846,1444.720917,11643,11821,12031,12237,12414,12581,12644,Lv 13
320,558,127031600,11600,Prestons - Edmondson Park,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,14.1323,150.8668242,-33.94826291,105905.6238,651.5341493,372.957517,8138.484101,956.6460102,7897.128908,4204.828386,10417.7675,7015.468962,6504.791695,2292.537332,5404.605595,1906.244605,8542.613642,3400.553486,6089.835964,8810.297973,12309.27,1527.060375,3698.830415,10851.65897,12065.24239,16934,17493,18231,19222,20526,21619,22552,Lv 13
321,559,127031601,11601,Warwick Farm,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,4.6502,150.9370054,-33.91290716,121764.8347,668.1877893,387.6641061,8775.583455,1040.470192,8154.291095,4439.285281,12485.71103,8029.714695,6530.371533,2590.354799,6592.360052,2209.062761,9893.502412,3831.694987,7861.645871,9739.758735,15821.22433,1929.410687,4296.545294,4103.312129,4474.563886,5534,5829,6052,6402,6647,6718,6783,Lv 15
322,560,128011529,11529,Gymea - Grays Point,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,5.7978,151.0849208,-34.04554855,96724.43389,551.093702,342.2852896,5199.565614,725.9284494,6554.784144,3004.440991,9572.289942,6982.219009,4599.252205,2536.255071,6315.47179,1908.534747,9719.035239,3246.018635,5813.812618,8119.153022,11701.04373,1671.979744,3542.725725,3342.195634,3762.296906,17868,17976,18080,18166,18242,18361,18469,Lv 13
323,561,128011530,11530,Miranda - Yowie Bay,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,5.9968,151.1034117,-34.03586579,104954.7384,569.072907,342.9455686,5754.088241,825.0608316,7003.103703,3319.334524,11962.56878,7489.808633,4946.419345,2638.600732,6458.522433,2034.387762,10057.19897,3453.667871,5980.837375,8257.724613,13131.38966,1806.741801,3871.283772,12629.59641,13762.5281,18725,18817,18905,19042,19129,19427,19774,Lv 13
324,562,128011531,11531,Sylvania - Taren Point,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,6.0725,151.1071705,-34.01543728,118954.3411,603.7406921,376.9940074,6425.133796,900.9867145,7934.019755,3872.479199,11700.7473,8333.007357,6244.977752,3187.431261,8073.6286,2377.945295,12103.62445,3985.434761,6943.631947,9386.865676,14276.47374,2100.811123,4298.403681,6781.558568,7428.945709,16494,16636,16756,16912,17069,17190,17318,Lv 14
